"Protocol","LocalAddress","Port","PID","ProcessName"
"TCP","0.0.0.0:135","135","6204","powershell"
"TCP","0.0.0.0:445","445","6204","powershell"
"TCP","0.0.0.0:2179","2179","6204","powershell"
"TCP","0.0.0.0:5040","5040","6204","powershell"
"TCP","0.0.0.0:7070","7070","6204","powershell"
"TCP","0.0.0.0:7680","7680","6204","powershell"
"TCP","0.0.0.0:49664","49664","6204","powershell"
"TCP","0.0.0.0:49665","49665","6204","powershell"
"TCP","0.0.0.0:49666","49666","6204","powershell"
"TCP","0.0.0.0:49667","49667","6204","powershell"
"TCP","0.0.0.0:49671","49671","6204","powershell"
"TCP","0.0.0.0:49676","49676","6204","powershell"
"TCP","172.30.208.1:139","139","6204","powershell"
"TCP","192.168.0.5:139","139","6204","powershell"
"TCP","[::]:135","135","6204","powershell"
"TCP","[::]:445","445","6204","powershell"
"TCP","[::]:2179","2179","6204","powershell"
"TCP","[::]:7070","7070","6204","powershell"
"TCP","[::]:7680","7680","6204","powershell"
"TCP","[::]:49664","49664","6204","powershell"
"TCP","[::]:49665","49665","6204","powershell"
"TCP","[::]:49666","49666","6204","powershell"
"TCP","[::]:49667","49667","6204","powershell"
"TCP","[::]:49671","49671","6204","powershell"
"TCP","[::]:49676","49676","6204","powershell"
"TCP","[::1]:42050","42050","6204","powershell"
"TCP","[::1]:49668","49668","6204","powershell"
